"merchant_size","division","category","amount","count"
Micro,Khulna,Hardware,947936.00,189
Small,Khulna,Home & Kitchen,93166.00,102
Medium,Rajshahi,Home & Kitchen,1523421.07,319
Medium,Sylhet,Leather & Clothing,763434.00,213
Micro,Khulna,Automotive,249229.00,75
Micro,Dhaka,Books & Stationery,1308943.72,340
Medium,Khulna,Books & Stationery,976827.60,334
Micro,Dhaka,Automotive,954202.74,218
Small,Dhaka,Grocery (Convenience),2375291.61,962
Micro,Chittagong,Leather & Clothing,36391.78,53
Small,Khulna,Hardware,373275.00,182
Micro,Barisal,Computers & Electronics,85.00,7
Large,Dhaka,Books & Stationery,358074.00,76
Small,Barisal,Books & Stationery,13579.00,36
Large,Khulna,Hardware,21097.00,39
Large,Barisal,Hardware,20071.00,5
Large,Chittagong,Leather & Clothing,1.01,1
Small,Dhaka,HoReCa,1.00,1
Medium,Rajshahi,Automotive,913456.34,229
Small,Rajshahi,Institutions and Service Providers,59.00,7
Medium,Sylhet,Lifestyle,3240.00,10
Micro,Chittagong,Home & Kitchen,42731.81,23
Small,Khulna,HoReCa,51.00,2
Medium,Barisal,Home & Kitchen,46420.00,51
Large,Rajshahi,Automotive,10600.00,4
Micro,Khulna,Home & Kitchen,1016772.08,174
Micro,Chittagong,Grocery (Convenience),126.00,6
Large,Rajshahi,Computers & Electronics,18870.00,11
Medium,Barisal,Computers & Electronics,2483219.80,388
Large,Barisal,Eating and Drinking,165.00,10
Medium,Barisal,Health & Personal Care,2.00,2
Large,Chittagong,Home & Kitchen,20.00,1
Micro,Sylhet,Hardware,228014.00,59
Elite,Dhaka,Home & Kitchen,101.00,2
Micro,Rajshahi,Cell Phones & Accessories,2080050.00,457
Large,Dhaka,Leather & Clothing,184750.01,55
Large,Dhaka,Home & Kitchen,10428.00,14
Medium,Sylhet,Eating and Drinking,515876.00,268
Micro,Barisal,Books & Stationery,100.00,3
Medium,Rajshahi,Health & Personal Care,15271.00,8
Small,Sylhet,Computers & Electronics,18522.61,14
Small,Rajshahi,Automotive,2822610.00,540
Small,Barisal,Grocery (Convenience),582620.00,153
Micro,Barisal,Lifestyle,653.00,7
Small,Barisal,Computers & Electronics,1315768.66,368
Large,Chittagong,Grocery (Convenience),165.20,6
Small,Barisal,Hardware,2617.00,21
Medium,Dhaka,HoReCa,27.00,7
Large,Barisal,Books & Stationery,950.00,2
Large,Khulna,Books & Stationery,52.00,3
Small,Dhaka,Health & Personal Care,64786.33,41
Large,Dhaka,Computers & Electronics,69081.00,41
Micro,Chittagong,Computers & Electronics,13413.00,16
Micro,Sylhet,Automotive,81253.02,22
Large,Dhaka,Eating and Drinking,2001290.00,830
Medium,Sylhet,Institutions and Service Providers,5657.00,10
Medium,Barisal,Cell Phones & Accessories,3602537.00,614
Micro,Chittagong,Lifestyle,390164.24,107
Large,Rajshahi,Grocery (Convenience),25122.00,20
Medium,Sylhet,Grocery (Convenience),209975.00,53
Large,Khulna,Computers & Electronics,4712.00,9
Micro,Dhaka,Sports & Music,185413.00,64
Small,Sylhet,Hardware,2.00,2
Small,Rajshahi,Cell Phones & Accessories,1786578.18,250
Large,Khulna,Automotive,583051.20,91
Small,Sylhet,Grocery (Convenience),235795.00,54
Small,Rajshahi,Eating and Drinking,219292.04,61
Medium,Khulna,Grocery (Convenience),1228556.04,236
Small,Khulna,Sports & Music,233.00,6
Micro,Barisal,Eating and Drinking,96252.00,49
Small,Rajshahi,Hardware,160.50,8
Small,Chittagong,Institutions and Service Providers,139820.03,65
Small,Sylhet,Sports & Music,57.00,4
Medium,Rajshahi,Institutions and Service Providers,621199.01,106
Small,Khulna,Agriculture & Garden,612.00,4
Small,Barisal,Cell Phones & Accessories,2484588.00,384
Medium,Barisal,Institutions and Service Providers,108184.20,56
Medium,Barisal,Sports & Music,50.00,1
Micro,Chittagong,Institutions and Service Providers,128.16,10
Large,Khulna,Leather & Clothing,203637.00,42
Medium,Sylhet,Computers & Electronics,239270.01,96
Small,Chittagong,Lifestyle,3301.01,7
Large,Dhaka,Hardware,1065.00,10
Micro,Barisal,Grocery (Convenience),125002.00,61
Micro,Barisal,Institutions and Service Providers,2.00,2
Large,Barisal,Computers & Electronics,53.00,3
Small,Chittagong,Computers & Electronics,2239.00,16
Large,Dhaka,Grocery (Convenience),77996.00,20
Small,Chittagong,Home & Kitchen,69.09,5
Small,Khulna,Health & Personal Care,10.00,1
Micro,Chittagong,Sports & Music,1024211.59,415
Large,Chittagong,Eating and Drinking,40939.08,26
Small,Barisal,Institutions and Service Providers,104.00,6
Small,Sylhet,Cell Phones & Accessories,43017.50,32
Small,Rajshahi,Books & Stationery,983185.00,340
Small,Barisal,Home & Kitchen,3603.00,8
Small,Barisal,Lifestyle,676824.00,162
Micro,Khulna,Lifestyle,374110.00,103
Micro,Barisal,Leather & Clothing,153996.56,50
Medium,Sylhet,Software & data,1.00,1
Micro,Chittagong,Automotive,9522.30,11
Large,Rajshahi,Institutions and Service Providers,1.00,1
Large,Rajshahi,Leather & Clothing,151.00,4
Small,Dhaka,Sports & Music,49898.00,41
Micro,Barisal,Hardware,5123.00,8
Large,Dhaka,Ticketing & Agency,11111.00,5
Micro,Dhaka,Health & Personal Care,7052.00,9
Medium,Sylhet,Health & Personal Care,923.00,4
Medium,Dhaka,Ticketing & Agency,51651.00,6
Medium,Khulna,Unstructure Merchant,153551.00,30
Small,Rajshahi,Computers & Electronics,118158.03,56
Micro,Sylhet,Institutions and Service Providers,1256.03,17
Large,Dhaka,Agriculture & Garden,1.00,1
Large,Rajshahi,Eating and Drinking,7620.90,22
Large,Khulna,Home & Kitchen,4576.00,4
Medium,Chittagong,Modern Trade,1.00,1
Micro,Sylhet,Computers & Electronics,3477.60,10
Elite,Dhaka,Cell Phones & Accessories,500.00,1
Unknown,Dhaka,Eating and Drinking,2.00,2
Unknown,Dhaka,Cell Phones & Accessories,10.00,1
Large,Khulna,Eating and Drinking,20403.00,14
Medium,Khulna,Software & data,552.00,4
Large,Barisal,Cell Phones & Accessories,1882160.00,179
Small,Rajshahi,Lifestyle,325.00,8
Large,Barisal,Lifestyle,100.00,4
Small,Dhaka,Ticketing & Agency,150.00,2
Large,Chittagong,Cell Phones & Accessories,217111.05,54
Micro,Chittagong,Books & Stationery,476.01,5
Large,Barisal,Home & Kitchen,51.00,2
Small,Sylhet,Institutions and Service Providers,65.00,7
Small,Chittagong,Automotive,103.05,3
Large,Sylhet,Automotive,70.00,3
Medium,Dhaka,Agriculture & Garden,57.00,3
Medium,Barisal,Hardware,42050.00,56
Micro,Barisal,Cell Phones & Accessories,21260.10,24
Micro,Barisal,Sports & Music,1.00,1
Medium,Khulna,Ticketing & Agency,36772.00,6
Large,Sylhet,Cell Phones & Accessories,50.00,1
Micro,Barisal,Automotive,50.00,1
Micro,Khulna,Agriculture & Garden,101.00,3
Micro,Sylhet,Lifestyle,112.00,4
Elite,Rajshahi,Home & Kitchen,50.00,1
Unknown,Dhaka,Home & Kitchen,20.00,1
Large,Rajshahi,Books & Stationery,50.00,1
Medium,Sylhet,HoReCa,1.00,1
Medium,Rajshahi,Agriculture & Garden,1.00,1
Medium,Khulna,Agriculture & Garden,100.00,1
Medium,Rajshahi,Software & data,1.00,1
Large,Sylhet,Leather & Clothing,1.00,1
Micro,Barisal,Home & Kitchen,100.00,2
Medium,Khulna,HoReCa,101.76,2
Micro,Sylhet,Home & Kitchen,78.00,6
Micro,Rajshahi,Lifestyle,56.00,3
Unknown,Chittagong,Institutions and Service Providers,126.00,3
Large,Khulna,Cell Phones & Accessories,100.00,1
Large,Khulna,Institutions and Service Providers,120.00,3
Small,Rajshahi,Grocery (Convenience),23.00,4
Micro,Chittagong,Unstructure Merchant,51.00,2
Large,Khulna,Grocery (Convenience),50.00,1
Elite,Barisal,Computers & Electronics,50.00,1
Unknown,Dhaka,Institutions and Service Providers,30.00,3
Large,Barisal,Leather & Clothing,101.00,2
Small,Khulna,Modern Trade,200.00,1
Unknown,Dhaka,Hardware,11.00,2
Small,Dhaka,Unstructure Merchant,50.00,1
Small,Dhaka,Agriculture & Garden,3.00,1
Medium,Rajshahi,HoReCa,202.09,5
Small,Sylhet,Lifestyle,281.00,6
Large,Sylhet,Eating and Drinking,17300.00,5
Large,Dhaka,Health & Personal Care,4200.00,2
Small,Rajshahi,Home & Kitchen,252.00,5
Small,Khulna,Unstructure Merchant,100.00,2
Elite,Dhaka,Computers & Electronics,17270.00,6
Small,Sylhet,Health & Personal Care,1.00,1
Medium,Barisal,HoReCa,50.00,1
Micro,Khulna,Sports & Music,76086.00,33
Large,Chittagong,Automotive,1.04,1
Large,Barisal,Grocery (Convenience),101.00,2
Large,Chittagong,Lifestyle,1.00,1
Micro,Rajshahi,Computers & Electronics,59700.00,6
Small,Khulna,Software & data,50.00,1
Small,Sylhet,Automotive,50.00,1
Large,Dhaka,Institutions and Service Providers,100.00,1
Micro,Sylhet,HoReCa,55.00,2
Small,Dhaka,Modern Trade,1.00,1
Micro,Dhaka,Agriculture & Garden,2.00,2
Medium,Chittagong,Unstructure Merchant,1.06,1
Large,Barisal,Automotive,50.00,1
POS,Dhaka,Leather & Clothing,1.00,1
Small,Barisal,Sports & Music,3650.00,2
Large,Rajshahi,Home & Kitchen,50.00,1
